styleid,Url,len_Fabulyst,len_Myntra,correct?,analysis
1704992,http://myntra.myntassets.com/assets/images/1704992/2017/8/4/11501851344753-Anouk-Women-Multicoloured-Checked-A-Line-Kurta-8421501851344564-1.jpg,Knee Length,Knee Length,TRUE,
2509558,http://myntra.myntassets.com/assets/images/2509558/2018/2/23/11519367627489-Cotton-Viscose-Hand-Block-Printed-Cowl-Kurta-6271519367627304-1.jpg,Calf Length,Calf Length,TRUE,
2497390,http://myntra.myntassets.com/assets/images/2497390/2018/2/16/11518769742038-Bhama-Couture-Women-Off-White--Off-White-Embroidered-Anarkali-Kurta-871518769741880-1.jpg,Calf Length,Calf Length,TRUE,
2440587,http://myntra.myntassets.com/assets/images/2440587/2018/2/6/11517909912220-Libas-Women-Kurtas-7431517909912123-1.jpg,Knee Length,Calf Length,FALSE,TN
1815885,http://myntra.myntassets.com/assets/images/1815885/2017/3/21/11490080007168-Kurtis-by-Menka-Women-Kurtas-4151490080007088-1.jpg,Calf Length,Knee Length,FALSE,FN
1831414,http://myntra.myntassets.com/assets/images/1831414/2017/4/1/11491039124317-Aamii-Women-Kurtas-8551491039124098-1.jpg,Calf Length,Knee Length,FALSE,FN
2438134,http://myntra.myntassets.com/assets/images/2438134/2018/1/30/11517311591539-NA-5161517311591415-1.jpg,Calf Length,Calf Length,TRUE,
2527520,http://myntra.myntassets.com/assets/images/2527520/2018/2/27/11519721561490-na-401519721561301-1.jpg,Calf Length,Calf Length,TRUE,
2326546,http://myntra.myntassets.com/assets/images/2326546/2017/12/9/11512800679766-NA-6521512800679544-1.jpg,Ankle Length,Ankle Length,TRUE,
2436391,http://myntra.myntassets.com/assets/images/2436391/2018/1/31/11517381954044-Sera-Womens-Ethnic-Wear--Solid-Straight-Kurta-6911517381953816-1.jpg,Calf Length,Calf Length,TRUE,
2497395,http://myntra.myntassets.com/assets/images/2497395/2018/2/16/11518769873002-Bhama-Couture-Women-Blue-Printed-Anarkali-Kurta-8901518769872809-1.jpg,Calf Length,Calf Length,TRUE,
2484630,http://myntra.myntassets.com/assets/images/2484630/2018/2/23/11519382830894-Anahi-Women-Teal-Solid-A-Line-Kurta-9821519382830747-1.jpg,Calf Length,Calf Length,TRUE,
2438170,http://myntra.myntassets.com/assets/images/2438170/2018/1/30/11517311628593-na-5581517311628437-1.jpg,Calf Length,Calf Length,TRUE,
2323205,http://myntra.myntassets.com/assets/images/2323205/2018/2/20/11519107320933-Anouk-Women-Blue--Off-White-Checked-A-Line-Kurta-7391519107320818-1.jpg,Calf Length,Calf Length,TRUE,
2450721,http://myntra.myntassets.com/assets/images/2450721/2018/2/5/11517809961521-na-5721517809961311-1.jpg,Calf Length,Calf Length,TRUE,
1870234,http://myntra.myntassets.com/assets/images/1870234/2017/4/26/11493191802366-Nayo-Women-Kurtas-6941493191802267-1.jpg,Calf Length,Calf Length,TRUE,
1193965,http://myntra.myntassets.com/assets/images/1193965/2016/5/17/11463486430514-Anouk-Navy--Pink-Crepe-Leheriya-Print-A-Line-Kurta-4681463486430317-1.jpg,Knee Length,Knee Length,TRUE,
2322762,http://myntra.myntassets.com/assets/images/2322762/2018/1/12/11515753953481-Anouk-Women-Charcoal-Printed-A-Line-Kurta-5651515753953373-1.jpg,Calf Length,Calf Length,TRUE,
2109596,http://myntra.myntassets.com/assets/images/2109596/2017/9/7/11504767485401-Anaisa-Red-Rayon-Long-Kurta-2391504767485217-1.jpg,Calf Length,Calf Length,TRUE,
2478383,http://myntra.myntassets.com/assets/images/2478383/2018/2/12/11518420340637-na-4621518420340435-1.jpg,Knee Length,Knee Length,TRUE,
2477318,http://myntra.myntassets.com/assets/images/2477318/2018/2/22/11519304963041-Libas-Women-Kurtas-1871519304962823-1.jpg,Calf Length,Calf Length,TRUE,
1338955,http://myntra.myntassets.com/assets/images/1338955/2016/5/4/11462363361420-Tissu-Women-Kurtas-9621462363361187-1.jpg,Calf Length,Calf Length,TRUE,
2512457,http://myntra.myntassets.com/assets/images/2512457/2018/2/22/11519283816465-na-8361519283816290-1.jpg,Calf Length,Calf Length,TRUE,
2508977,http://myntra.myntassets.com/assets/images/2508977/2018/2/22/11519302904079-RARE-ROOTS-Women-Black-Kurti-491519302903835-1.jpg,Calf Length,Calf Length,TRUE,
1416435,http://myntra.myntassets.com/assets/images/1416435/2016/6/30/11467276001306-Libas-Black--Cream-Coloured-Floral-Print-Anarkali-Kurta-7331467276001232-1.jpg,Calf Length,Calf Length,TRUE,
2342443,http://myntra.myntassets.com/assets/images/2342443/2017/12/14/11513251618744-na-481513251618549-1.jpg,Ankle Length,Ankle Length,TRUE,
2297274,http://myntra.myntassets.com/assets/images/2297274/2017/12/1/11512121949560-Varanga-Women-Grey--White-Printed-Straight-Kurta-9101512121949472-1.jpg,Calf Length,Knee Length,FALSE,FN
1986934,http://myntra.myntassets.com/assets/images/1986934/2017/7/11/11499752870999-Shubhavas-Red-Color-Jaipuri-Print-Anarkali-Kurta-with-tassels-6051499752870772-1.jpg,Calf Length,Calf Length,TRUE,
1942487,http://myntra.myntassets.com/assets/images/1942487/2017/6/2/11496385768374-breya-Women-Kurtas-2281496385768166-1.jpg,Calf Length,Calf Length,TRUE,
2254253,http://myntra.myntassets.com/assets/images/2254253/2017/11/16/11510822871107-na-8641510822870960-1.jpg,Knee Length,Calf Length,FALSE,TN
2323195,http://myntra.myntassets.com/assets/images/2323195/2018/2/28/11519818998588-Anouk-Women-Blue--White-Checked-A-Line-Kurta-2611519818998454-1.jpg,Calf Length,Knee Length,FALSE,FN
2435230,http://myntra.myntassets.com/assets/images/2435230/2018/1/30/11517295708868-na-5181517295708687-1.jpg,Calf Length,Calf Length,TRUE,
2190171,http://myntra.myntassets.com/assets/images/2190171/2017/10/19/11508399840143-Varanga-Maroon-Pure-Cotton-Embroidery-Kurta--VAR21142_REE18-2681508399839871-1.jpg,Calf Length,Calf Length,TRUE,
2414182,http://myntra.myntassets.com/assets/images/2414182/2018/2/5/11517832310047-Moda-Rapido-Women-Kurtas-3891517832309921-1.jpg,Calf Length,Calf Length,TRUE,
2147284,http://myntra.myntassets.com/assets/images/2147284/2017/9/27/11506500155187-Aaboli-Women-Kurtas-7091506500154995-1.jpg,Knee Length,Knee Length,TRUE,
2363649,http://myntra.myntassets.com/assets/images/2363649/2018/1/4/11515060896910-W-Women-White--Fluorescent-Green-Printed-A-Line-Kurta-1971515060896783-1.jpg,Calf Length,Calf Length,TRUE,
2240989,http://myntra.myntassets.com/assets/images/2240989/2017/11/21/11511264180415-Nayo-Women-Red-Printed-A-Line-Kurta-9351511264180242-1.jpg,Ankle Length,Ankle Length,TRUE,
1803383,http://myntra.myntassets.com/assets/images/1803383/2017/8/16/11502858760964-RANGMANCH-BY-PANTALOONS-Women-Black-Printed-Straight-Kurta-8461502858760751-1.jpg,Calf Length,Calf Length,TRUE,
1566680,http://myntra.myntassets.com/assets/images/1566680/2016/9/27/11474979089731-Nayo-Women-Kurtas-5871474979089515-1.jpg,Knee Length,Above Knee,FALSE,FN
2322964,http://myntra.myntassets.com/assets/images/2322964/2018/2/12/11518426753631-Anouk-Women-Blue-Printed-A-Line-Kurta-8481518426753605-1.jpg,Calf Length,Knee Length,FALSE,FN
2421081,http://myntra.myntassets.com/assets/images/2421081/2018/1/23/11516691816402-na-5211516691816198-1.jpg,Calf Length,Knee Length,FALSE,FN
1193993,http://myntra.myntassets.com/assets/images/1193993/2016/7/22/11469166951775-Anouk-Turquoise-Blue-Georgette-Leheriya-Print-Kurta-2681469166951447-1.jpg,Knee Length,Knee Length,TRUE,
1956398,http://myntra.myntassets.com/assets/images/1956398/2017/7/25/11500966203989-Biba-Women-Kurtas-7571500966203830-1.jpg,Knee Length,Knee Length,TRUE,
1754589,http://myntra.myntassets.com/assets/images/1754589/2017/2/7/11486464799692-Alom-Women-Black-Printed-Straight-Kurta-1311486464799601-1.jpg,Calf Length,Calf Length,TRUE,
2403052,http://myntra.myntassets.com/assets/images/2403052/2018/2/27/11519727325946-W-Women-Kurtas-9141519727325774-1.jpg,Calf Length,Calf Length,TRUE,
1710483,http://myntra.myntassets.com/assets/images/1710483/2017/3/24/11490351783507-all-about-you-Women-Pink-Yoke-Design-A-Line-Kurta-6201490351782899-1.jpg,Above Knee,Above Knee,TRUE,
2493513,http://myntra.myntassets.com/assets/images/2493513/2018/2/16/11518774256322-NA-7321518774256180-1.jpg,Knee Length,Calf Length,FALSE,FN
2428110,http://myntra.myntassets.com/assets/images/2428110/2018/2/7/11517982754867-VINTAGE-WINDS-8491517982754671-1.jpg,Calf Length,Calf Length,TRUE,
2355232,http://myntra.myntassets.com/assets/images/2355232/2018/2/22/11519297659378-IMARA-Women-Kurtas-2781519297659233-1.jpg,Knee Length,Calf Length,FALSE,FN
510165,http://myntra.myntassets.com/images/style/properties/Prakhya-Women-Kurtis_07abd0ded882384e220e4ce7a33aa38a_images.jpg,Calf Length,Calf Length,TRUE,
2431880,http://myntra.myntassets.com/assets/images/2431880/2018/2/12/11518427143693-Global-Desi-Grey--Grey-Printed-Tunic-5441518427143562-1.jpg,Above Knee,Knee Length,FALSE,FN
2484612,http://myntra.myntassets.com/assets/images/2484612/2018/2/24/11519459463160-Karigari-Women-Navy-Blue-Printed-Straight-Kurta-41519459463032-1.jpg,Knee Length,Knee Length,TRUE,
2428092,http://myntra.myntassets.com/assets/images/2428092/2018/2/7/11517982695699-INDIGO-3491517982695512-1.jpg,Knee Length,Knee Length,TRUE,
2469666,http://myntra.myntassets.com/assets/images/2469666/2018/2/9/11518180843016-Varanga-Women-Blue-Solid-Straight-Kurta-291518180842762-1.jpg,Calf Length,Knee Length,FALSE,TN
1549172,http://myntra.myntassets.com/assets/images/1549172/2017/2/13/11486966417774-Anouk-Women-White-Printed-Pathani-Kurta-7321486966417538-1.jpg,Knee Length,Calf Length,FALSE,FN
2427810,http://myntra.myntassets.com/assets/images/2427810/2018/2/6/11517893146562-Fabindia-Women-White-Embroidered-Straight-Kurta-3371517893146406-1.jpg,Calf Length,Calf Length,TRUE,
1723700,http://myntra.myntassets.com/assets/images/1723700/2017/2/9/11486622652607-IMARA-Women-Orange-Printed-Straight-Kurta-7711486622652303-1.jpg,Calf Length,Calf Length,TRUE,
2342459,http://myntra.myntassets.com/assets/images/2342459/2017/12/15/11513326233636-MTex-Black-Crepe-Straight-Kurti-501513326233533-1.jpg,Calf Length,Knee Length,FALSE,FN
2245778,http://myntra.myntassets.com/assets/images/2245778/2017/11/13/11510556286707-INDYA-Women-Grey-Printed-A-Line-Kurta-2391510556286565-1.jpg,Ankle Length,Ankle Length,TRUE,
2366683,http://myntra.myntassets.com/assets/images/2366683/2018/1/8/11515405866808-shree-women-maroon--cream-coloured-printed-A-line-kurta-4561515405866627-1.jpg,Ankle Length,Calf Length,FALSE,FN
1744515,http://myntra.myntassets.com/assets/images/1744515/2017/1/31/11485846026295-aayusika-Women-Kurtas-6441485846025764-1.jpg,Knee Length,Calf Length,FALSE,FN
2318197,http://myntra.myntassets.com/assets/images/2318197/2017/12/7/11512636088828-La-Firangi-Women-Orange-Woven-Design-Pathani-Kurta-8931512636088565-1.jpg,Calf Length,Ankle Length,FALSE,FN
2443696,http://myntra.myntassets.com/assets/images/2443696/2018/2/1/11517477352344-na-2801517477352118-1.jpg,Ankle Length,Calf Length,FALSE,TN
2370599,http://myntra.myntassets.com/assets/images/2370599/2017/12/29/11514528871400-Chhabra-555-Black-Coloured-Printed--Cotton-Stiched-Kurti-8791514528871261-1.jpg,Ankle Length,Calf Length,FALSE,TN
2038436,http://myntra.myntassets.com/assets/images/2038436/2017/8/10/11502350324900-SAAR-by-Rajkumars-Women-Kurtas-3041502350324692-1.jpg,Calf Length,Calf Length,TRUE,
2280262,http://myntra.myntassets.com/assets/images/2280262/2017/12/7/11512643020513-Jashn-Black-Graphic-High-Low-Kurti-581512643020385-1.jpg,Above Knee,Above Knee,TRUE,
2215982,http://myntra.myntassets.com/assets/images/2215982/2018/1/15/11515999866123-Moda-Rapido-Women-Blue-Printed-Straight-Kurta-6121515999866059-1.jpg,Calf Length,Calf Length,TRUE,
1424378,http://myntra.myntassets.com/assets/images/1424378/2017/1/2/11483338305062-BIBA-Blue-Ajrakh-Print-Handloom-A-Line-Kurta-2521483338304671-1.jpg,Knee Length,Knee Length,TRUE,
2229859,http://myntra.myntassets.com/assets/images/2229859/2017/11/14/11510660134532-Libas-Women-Kurtas-4041510660134356-1.jpg,Calf Length,Calf Length,TRUE,
2478379,http://myntra.myntassets.com/assets/images/2478379/2018/2/12/11518420305261-na-3661518420305061-1.jpg,Calf Length,Knee Length,FALSE,TN
1304473,http://myntra.myntassets.com/assets/images/1304473/2016/7/13/11468393764952-All-About-You-by-Deepika-Padukone-Peach-Coloured-Polyester-Embroidered-Pathani-Kurta-5371468393764746-1.jpg,Calf Length,Knee Length,FALSE,TN
2420004,http://myntra.myntassets.com/assets/images/2420004/2018/1/22/11516620927712-na-2981516620927547-1.jpg,Calf Length,Knee Length,FALSE,TN
2192415,http://myntra.myntassets.com/assets/images/2192415/2017/10/24/11508827915562-Cold-shoulder-5641508827915383-1.jpg,Knee Length,Calf Length,FALSE,TN
2248927,http://myntra.myntassets.com/assets/images/2248927/2017/11/22/11511349848783-AURELIA-Women-Kurtas-2931511349848593-1.jpg,Calf Length,Calf Length,TRUE,
2469665,http://myntra.myntassets.com/assets/images/2469665/2018/2/9/11518180835144-Varanga-Women-Off-White-Printed-A-Line-Kurta-7921518180834922-1.jpg,Calf Length,Knee Length,FALSE,FN
2414334,http://myntra.myntassets.com/assets/images/2414334/2018/1/22/11516601417583-Cottinfab-Printed-Kurta-with-front-Slit-4661516601417380-1.jpg,Calf Length,Calf Length,TRUE,
2463740,http://myntra.myntassets.com/assets/images/2463740/2018/2/23/11519378325126-AKS-Women-Blue--White-Printed-Anarkali-Kurta-with-Ethnic-Jacket-4241519378324875-1.jpg,Ankle Length,Calf Length,FALSE,TN
2198613,http://myntra.myntassets.com/assets/images/2198613/2017/11/15/11510738626273-W-Women-Kurtas-2581510738626143-1.jpg,Calf Length,Calf Length,TRUE,
2592940,http://myntra.myntassets.com/assets/images/2592940/2018/3/1/11519899808118-ZIYAA-Women-Red-Printed-Straight-Kurta-7111519899807985-1.jpg,Knee Length,Knee Length,TRUE,
2532155,http://myntra.myntassets.com/assets/images/2532155/2018/2/28/11519816801506-na-5521519816801292-1.jpg,Calf Length,Knee Length,FALSE,FN
2421085,http://myntra.myntassets.com/assets/images/2421085/2018/1/23/11516691898593-na-951516691898413-1.jpg,Calf Length,Knee Length,FALSE,FN
2392284,http://myntra.myntassets.com/assets/images/2392284/2018/1/16/11516077440622-Shree-Women-Orange-Solid-Straight-Kurta-8781516077440470-1.jpg,Knee Length,Calf Length,FALSE,FN
2389766,http://myntra.myntassets.com/assets/images/2389766/2018/1/19/11516339878121-Jaipur-Kurti-Women-Green--Burgundy-Printed-A-Line-Kurta-8041516339878052-1.jpg,Ankle Length,Ankle Length,TRUE,
2454572,http://myntra.myntassets.com/assets/images/2454572/2018/2/6/11517905819621-Saadgi-Navy-Blue-Solid-Straight-Khadi-Cotton-Kurta-3081517905819483-1.jpg,Knee Length,Knee Length,TRUE,
1744570,http://myntra.myntassets.com/assets/images/1744570/2017/1/31/11485856908437-Pannkh-Women-Kurtas-6341485856908274-1.jpg,Ankle Length,Calf Length,FALSE,TN
2509541,http://myntra.myntassets.com/assets/images/2509541/2018/2/23/11519363024147-Cotton-Viscose-Hand-Block-Printed-Placket-Kurta-5801519363023921-1.jpg,Calf Length,Calf Length,TRUE,
2322977,http://myntra.myntassets.com/assets/images/2322977/2018/2/12/11518426749053-Anouk-Women-Multicoloured-Printed-A-Line-Kurta-3271518426748844-1.jpg,Calf Length,Calf Length,TRUE,
2348309,http://myntra.myntassets.com/assets/images/2348309/2017/12/18/11513581917177-na-1951513581917055-1.jpg,Ankle Length,Ankle Length,TRUE,
861147,http://myntra.myntassets.com/image/style/properties/861147/I-Know-White-Printed-Kurta_1_1511dbd76275725afbbe6c9980946167.jpg,Above Knee,Calf Length,FALSE,TN
1835727,http://myntra.myntassets.com/assets/images/1835727/2017/4/3/11491216545460-Kurtis-by-Menka-Women-Kurtas-3231491216545306-1.jpg,Calf Length,Calf Length,TRUE,
1395995,http://myntra.myntassets.com/assets/images/1395995/2016/7/12/11468322694935-Anouk-Rust-Brown-Pathani-Kurta-6701468322694752-1.jpg,Calf Length,Calf Length,TRUE,
